,Company_Name,Past_Rating,Present_Rating,Future_Rating,Overall_Rating,PastContribution,PresentContribution,FutureContribution,CIR,reduced_scope12_calc,5yr_Change,Transition_Invest,total_induced,induced_scope12,total_induced_n-5,induced_scope12_n-5,GICS4,marketCap_bin_no,marketCap_class,HQ_Region,HQ_SubRegion_ord,vol_bin_no,vol_class,gas_bin_no,gas_class
37,No_38,10,9,9,9.3,3.0,3.6,2.6999999999999997,0.003977613219213687,-1410603.015075376,0.37457219899929917,,70439784.10285544,6310000.0,56963711.706382975,6900000.0,Integrated Oil & Gas,3,"g2: 10,000 MEUR<= market cap < 100,000 MEUR",Americas,g4: Northern America,3,g3: Volume managed >= 27 Mtoe,2,g1: 33%<=gas in the mix<67%
38,No_39,15,2,14,9.5,4.5,0.8,4.2,0.0,0.0,0.9940329686380778,,73952991.32507241,7200000.0,41802249.045246124,8282908.070864037,Oil & Gas Refining & Marketing,2,"g1: 1,000 MEUR<= market cap < 10,000 MEUR",Americas,g4: Northern America,3,g3: Volume managed >= 27 Mtoe,3,g2: 67%<=gas in the mix<100%
39,No_40,8,15,4,9.6,2.4,6.0,1.2,0.10509938394881124,-605979.1883747452,0.03421252763734128,0.40492957746478875,9705915.774017965,2201859.486355622,10971296.351322455,3585600.0,Oil & Gas Refining & Marketing,3,"g2: 10,000 MEUR<= market cap < 100,000 MEUR",Europe,g5: Northern Europe,0,g0: 0 Mtoe <= Volume managed < 5 Mtoe,0,g0: No gas
40,No_41,15,3,13,9.6,4.5,1.2000000000000002,3.9,0.0,0.0,1.318114124029524,,354101.74054579,12801.0,162575.45460078053,18629.051240799996,Oil & Gas Exploration & Production,0,g0: Company not quoted,Oceania,g3: Australasia,0,g0: 0 Mtoe <= Volume managed < 5 Mtoe,3,g2: 67%<=gas in the mix<100%
41,No_42,9,10,10,9.7,2.6999999999999997,4.0,3.0,0.014750414160306109,-7285207.100591716,0.13377677616654116,0.0088,493898477.7930147,57000000.0,439242984.77321804,56000000.0,Integrated Oil & Gas,4,"g4: Market cap >= 100,000 MEUR",Americas,g4: Northern America,3,g3: Volume managed >= 27 Mtoe,1,g1: 0%<gas in the mix<33%
42,No_43,4,13,11,9.7,1.2,5.2,3.3,0.011848145695110885,-520093.21039219183,-0.10190443212915046,,43896591.397150636,11045789.142548984,49649968.89305875,13560000.0,Oil & Gas Refining & Marketing,2,"g1: 1,000 MEUR<= market cap < 10,000 MEUR",Americas,g4: Northern America,2,g2: 10 Mtoe <= Volume managed < 27 Mtoe,1,g1: 0%<gas in the mix<33%
43,No_44,4,14,10,9.8,1.2,5.6000000000000005,3.0,0.0,0.0,-0.09005692345938776,,32058334.241316047,6297921.6412042705,38357136.352636345,10173198.942631543,Oil & Gas Refining & Marketing,2,"g1: 1,000 MEUR<= market cap < 10,000 MEUR",Asia,g2: Eastern Asia,1,g1: 5 Mtoe <= Volume managed < 10 Mtoe,0,g0: No gas
44,No_45,1,14,13,9.8,0.3,5.6000000000000005,3.9,0.0,0.0,-0.33941825532275505,,3190101.2312735985,360938.20128911996,4829230.079363239,546918.00910292,Oil & Gas Exploration & Production,1,"g1: 0 MEUR < market cap < 1,000 MEUR",Africa,g1: Middle Africa,0,g0: 0 Mtoe <= Volume managed < 5 Mtoe,1,g1: 0%<gas in the mix<33%
45,No_46,15,9,6,9.9,4.5,3.6,1.7999999999999998,0.0,-1429337.3622542247,1.9561385530902622,,26569507.967343505,1993569.8447893574,9360753.126793386,1003804.6418399999,Oil & Gas Exploration & Production,0,g0: Company not quoted,Africa,g1: Western Africa,1,g1: 5 Mtoe <= Volume managed < 10 Mtoe,2,g1: 33%<=gas in the mix<67%
46,No_47,10,8,13,10.1,3.0,3.2,3.9,0.023289526265097265,-828630.0508295707,0.38493638026980004,,35579515.07461074,2059195.506217409,27356628.94426032,2383856.0,Oil & Gas Exploration & Production,3,"g2: 10,000 MEUR<= market cap < 100,000 MEUR",Americas,g4: Northern America,2,g2: 10 Mtoe <= Volume managed < 27 Mtoe,2,g1: 33%<=gas in the mix<67%
47,No_48,6,14,9,10.100000000000001,1.7999999999999998,5.6000000000000005,2.6999999999999997,0.036200830559968346,-1422732.737293361,-0.034431369958644376,0.00712987012987013,38514107.606814116,5809000.0,39790425.213745244,5686000.0,Integrated Oil & Gas,0,g0: Company not quoted,Europe,g5: Southern Europe,2,g2: 10 Mtoe <= Volume managed < 27 Mtoe,1,g1: 0%<gas in the mix<33%
48,No_49,6,14,9,10.100000000000001,1.7999999999999998,5.6000000000000005,2.6999999999999997,0.04196913002099265,-3211913.089115376,-0.05136781002802926,,102819481.432966,43335335.329334386,108387088.82101503,46200959.4878832,Oil & Gas Refining & Marketing,3,"g2: 10,000 MEUR<= market cap < 100,000 MEUR",Americas,g4: Northern America,2,g2: 10 Mtoe <= Volume managed < 27 Mtoe,0,g0: No gas
49,No_50,7,12,11,10.200000000000001,2.1,4.800000000000001,3.3,,,0.03307852222177754,,1313582210.5350218,56314499.37339836,1441369359.3697119,203868746.11453146,Integrated Oil & Gas,4,"g4: Market cap >= 100,000 MEUR",Asia,g2: Western Asia,3,g3: Volume managed >= 27 Mtoe,1,g1: 0%<gas in the mix<33%
50,No_51,15,7,10,10.3,4.5,2.8000000000000003,3.0,0.04100632352393494,-5660742.340926942,2.2673783147196467,0.02,281220844.4612732,44540000.0,87165592.11401768,23200000.000000004,Oil & Gas Exploration & Production,3,"g2: 10,000 MEUR<= market cap < 100,000 MEUR",Americas,g4: Northern America,3,g3: Volume managed >= 27 Mtoe,2,g1: 33%<=gas in the mix<67%
51,No_52,10,10,11,10.3,3.0,4.0,3.3,0.05554207697859938,-4586003.377712898,0.38659256309929746,0.0,82568093.00595486,5437558.532966714,61670779.37864059,6723280.0,Oil & Gas Exploration & Production,3,"g2: 10,000 MEUR<= market cap < 100,000 MEUR",Americas,g4: Northern America,2,g2: 10 Mtoe <= Volume managed < 27 Mtoe,1,g1: 0%<gas in the mix<33%
